Unnamed: 0,title,datetime,browse_count,discussion_count,browse_log_norm
256,殡葬专业新生表示不会害怕,2024-09-13 20:06:00,14113000,658,16.462606916396144
257,持刀男子与受伤女子疑因拍照引发纠纷,2024-09-13 20:09:00,9859000,962,16.103895301557177
258,iPhone16ProMax秒没,2024-09-13 20:16:00,23340000,5630,16.965679184822683
259,周杰伦深圳演唱会,2024-09-13 20:33:00,660000000,264000,20.307750392984744
260,航拍洪水中的南宁,2024-09-13 20:36:00,7676000,1351,15.853609136109728
261,徐子未说魏哲鸣上学时很耀眼,2024-09-13 20:38:00,6704000,922,15.718214921144057
262,木耳泡发超8小时或有毒,2024-09-13 20:43:00,3233000,698,14.98892105670757
263,孙颖莎vs朱芊曦,2024-09-13 20:45:00,75758000,31000,18.143054607338406
264,孙颖莎进四强,2024-09-13 20:45:00,8024000,3025,15.897947608623909
265,孙颖莎3比1朱芊曦,2024-09-13 20:45:00,18888000,11000,16.754037357747485
266,闹剧迭起的直播带货何去何从,2024-09-13 20:50:00,11406000,1548,16.249650090698623
267,陆虎陈曌旭婚礼好多熟人,2024-09-13 20:50:00,140000000,13000,18.75715298057358
268,别忘记定闹钟,2024-09-13 20:56:00,2760000,155,14.830741237693331
269,学校回应唐尚珺舍友全部申请搬宿舍,2024-09-13 20:57:00,35041000,1169,17.372029362438028
270,陈楚生和老婆牵手逛街,2024-09-13 21:05:00,30160000,3708,17.22202710110403
271,王楚钦超级扣杀,2024-09-13 21:12:00,15538000,3134,16.558799194492504
272,美国履行WTO规则义务情况报告,2024-09-13 21:12:00,5245000,540,15.472785799812534
273,孙颖莎说赛前觉得不好打,2024-09-13 21:20:00,5667000,511,15.550170435151756
274,王楚钦进四强,2024-09-13 21:21:00,7115000,1214,15.77771578950609
275,王楚钦vs赵大成,2024-09-13 21:22:00,23919000,9851,16.990183680152743
276,王楚钦说对阵林诗栋自己处下风,2024-09-13 21:24:00,9235000,907,16.03851117161548
277,澳门冠军赛四强对阵,2024-09-13 21:28:00,6098000,684,15.623471406530337
278,王楚钦回应进四强,2024-09-13 21:32:00,3928000,309,15.183640948456494
279,济南暑期接待游客超2396万人,2024-09-13 22:06:00,1473000,187,14.202811695444767
280,张远收到了捧花,2024-09-13 22:16:00,15441000,2158,16.552536867303
281,新郎被绑路灯杆喷水只剩内裤,2024-09-13 22:21:00,10556000,1366,16.17220497660535
282,碎花裙女生回应网友关心,2024-09-13 22:24:00,7390000,242,15.815638292924383
283,教职工享用新鲜牛肉学生食用碎肉,2024-09-13 22:39:00,7820000,3584,15.872195112521494
284,红到发紫的花牛苹果,2024-09-13 22:41:00,2936000,414,14.892558668716545
285,外交部回应中越边境地区洪涝灾害,2024-09-13 23:03:00,9524000,287,16.06932548658889
286,台风贝碧嘉中秋期间或将影响华东地区,2024-09-13 23:24:00,15663000,3430,16.566811801060798
287,男子与女友分手趁她加班进门偷狗,2024-09-13 23:45:00,25587000,4234,17.057594967969358
288,澳门冠军赛8强对阵,2024-09-14 02:09:00,8625000,1395,15.970175520881698
289,每多刷1小时手机视网膜年龄衰老32天,2024-09-14 03:08:00,26401000,9132,17.08891244618704
290,偶遇王楚然回老家,2024-09-14 03:09:00,42441000,4668,17.56362543410918
291,卤味三巨头为什么失宠,2024-09-14 03:27:00,96316000,20000,18.38314501042326
292,女生嫌肉末太油拿水涮结果全流走,2024-09-14 03:45:00,90158000,5253,18.3170742446636
293,男生体检举煎饼抽血一拔针秒开饭,2024-09-14 03:52:00,42617000,4619,17.567763792668785
294,日方公布对NHK中国籍播音员处理结果,2024-09-14 04:57:00,42293000,7424,17.560132145688844
295,SEVENTEEN将于10月14日回归,2024-09-14 05:04:00,18049000,7871,16.708600839546385
296,肖战对视甜笑,2024-09-14 05:12:00,20351000,204000,16.828640608694684
297,王俊凯一口气认出六个奥特曼,2024-09-14 05:15:00,27714000,20000,17.1374482586408
298,丈夫不在家孕8个月妻子背玉米回家,2024-09-14 05:16:00,98159000,11000,18.402099170865974
299,亚运村不少房东不想再降价撤牌不卖了,2024-09-14 05:30:00,23428000,830,16.96944244619181
